_id,sensor_id,date,level
1,12,2016-03-13 11:10:08.014,None
2,12,2016-03-13 11:11:08.014,None
3,12,2016-03-13 11:12:08.017,None
4,12,2016-03-13 11:13:08.013,None
5,12,2016-03-13 11:14:08.014,None
6,12,2016-03-13 11:15:08.015,None
7,12,2016-03-13 11:16:08.014,None
8,12,2016-03-13 11:17:08.029,None
9,12,2016-03-13 11:18:08.014,None
10,12,2016-03-13 11:19:08.019,None
11,12,2016-03-13 11:20:08.027,None
12,12,2016-03-13 11:21:08.027,None
13,12,2016-03-13 11:22:08.027,None
14,12,2016-03-13 11:23:08.019,None
15,12,2016-03-13 11:24:08.016,None
16,12,2016-03-13 11:25:08.071,None
17,12,2016-03-13 11:26:08.012,None
18,12,2016-03-13 11:27:08.015,None
19,12,2016-03-13 11:28:08.013,None
20,12,2016-03-13 11:29:08.015,None
21,12,2016-03-13 11:30:08.014,None
22,12,2016-03-13 11:31:08.017,None
23,12,2016-03-13 11:32:08.013,None
24,12,2016-03-13 11:33:08.014,None
25,12,2016-03-13 11:34:08.055,None
26,12,2016-03-13 11:35:08.045,None
27,12,2016-03-13 11:36:08.037,None
28,12,2016-03-13 11:37:08.021,None
29,12,2016-03-13 11:38:08.038,None
30,12,2016-03-13 11:39:08.036,None
